Date,#,Club,League,Value,Value_2,%
2025-08-15,11,Borussia Mönchengladbach,,0,147400000,0.0
2025-08-15,12,SV Werder Bremen,,0,126150000,0.0
2025-08-15,13,FC Augsburg,,0,119130000,0.0
2025-08-15,14,1.FC Union Berlin,,0,113180000,0.0
2025-08-15,15,1.FC Heidenheim 1846,,0,66780000,0.0
2025-08-15,16,FC St. Pauli,,0,61030000,0.0
2025-08-15,17,VfL Bochum,,0,59450000,0.0
2025-08-15,18,Holstein Kiel,,0,46630000,0.0
2025-09-01,1,Bayern Munich,,0,859000000,0.0
2025-09-01,2,Bayer 04 Leverkusen,,0,644050000,0.0
2025-09-01,3,RB Leipzig,,0,510750000,0.0
2025-09-01,4,Borussia Dortmund,,0,436400000,0.0
2025-09-01,5,VfB Stuttgart,,0,330230000,0.0
2025-09-01,6,Eintracht Frankfurt,,0,323050000,0.0
2025-09-01,7,VfL Wolfsburg,,0,252000000,0.0
2025-09-01,8,TSG 1899 Hoffenheim,,0,172750000,0.0
2025-09-01,9,SC Freiburg,,0,165850000,0.0
2025-09-01,10,1.FSV Mainz 05,,0,152600000,0.0
2025-09-01,11,Borussia Mönchengladbach,,0,147400000,0.0
2025-09-01,12,SV Werder Bremen,,0,126150000,0.0
2025-09-01,13,FC Augsburg,,0,119130000,0.0
2025-09-01,14,1.FC Union Berlin,,0,113180000,0.0
2025-09-01,15,1.FC Heidenheim 1846,,0,66780000,0.0
2025-09-01,16,FC St. Pauli,,0,61030000,0.0
2025-09-01,17,VfL Bochum,,0,59450000,0.0
2025-09-01,18,Holstein Kiel,,0,46630000,0.0
2025-09-15,1,Bayern Munich,,0,859000000,0.0
2025-09-15,2,Bayer 04 Leverkusen,,0,644050000,0.0
2025-09-15,3,RB Leipzig,,0,510750000,0.0
2025-09-15,4,Borussia Dortmund,,0,436400000,0.0
2025-09-15,5,VfB Stuttgart,,0,330230000,0.0
2025-09-15,6,Eintracht Frankfurt,,0,323050000,0.0
2025-09-15,7,VfL Wolfsburg,,0,252000000,0.0
2025-09-15,8,TSG 1899 Hoffenheim,,0,172750000,0.0
2025-09-15,9,SC Freiburg,,0,165850000,0.0
2025-09-15,10,1.FSV Mainz 05,,0,152600000,0.0
2025-09-15,11,Borussia Mönchengladbach,,0,147400000,0.0
2025-09-15,12,SV Werder Bremen,,0,126150000,0.0
2025-09-15,13,FC Augsburg,,0,119130000,0.0
2025-09-15,14,1.FC Union Berlin,,0,113180000,0.0
2025-09-15,15,1.FC Heidenheim 1846,,0,66780000,0.0
2025-09-15,16,FC St. Pauli,,0,61030000,0.0
2025-09-15,17,VfL Bochum,,0,59450000,0.0
2025-09-15,18,Holstein Kiel,,0,46630000,0.0
2025-10-01,1,Bayern Munich,,0,859000000,0.0
2025-10-01,2,Bayer 04 Leverkusen,,0,644050000,0.0
2025-10-01,3,RB Leipzig,,0,510750000,0.0
2025-10-01,4,Borussia Dortmund,,0,436400000,0.0
2025-10-01,5,VfB Stuttgart,,0,330230000,0.0
2025-10-01,6,Eintracht Frankfurt,,0,323050000,0.0
2025-10-01,7,VfL Wolfsburg,,0,252000000,0.0
2025-10-01,8,TSG 1899 Hoffenheim,,0,172750000,0.0
2025-10-01,9,SC Freiburg,,0,165850000,0.0
2025-10-01,10,1.FSV Mainz 05,,0,152600000,0.0
2025-10-01,11,Borussia Mönchengladbach,,0,147400000,0.0
2025-10-01,12,SV Werder Bremen,,0,126150000,0.0
2025-10-01,13,FC Augsburg,,0,119130000,0.0
2025-10-01,14,1.FC Union Berlin,,0,113180000,0.0
2025-10-01,15,1.FC Heidenheim 1846,,0,66780000,0.0
2025-10-01,16,FC St. Pauli,,0,61030000,0.0
2025-10-01,17,VfL Bochum,,0,59450000,0.0
2025-10-01,18,Holstein Kiel,,0,46630000,0.0
